"","station_european_code","year","gwr","obs","nfold"
"1","AT30201",2010,19.4088706093068,17.253,1
"2","AT31406",2010,18.9244562876134,30.156,1
"3","AT4S156",2010,26.3709533421664,22.666,1
"4","AT60198",2010,24.8915967037618,22.445,1
"5","AT60164",2010,38.3595056203172,51.298,1
"6","AT60139",2010,28.0267825491815,31.434,1
"7","AT72223",2010,94.2251641586353,50.316,1
"8","AT30301",2010,16.8713272629417,16.125,1
"9","AT72227",2010,25.7868295889926,40.234,1
"10","AT52000",2010,36.0688700665762,47.917,1
"11","AT52100",2010,18.065107419552,15.283,1
"12","AT60179",2010,26.0152298946574,20.515,1
"13","AT72110",2010,39.0486791038233,43.617,1
"14","AT60119",2010,19.4264640946514,19.639,1
"15","AT72538",2010,19.5695626236904,24.807,1
"16","AT60142",2010,20.7622906468664,20.728,1
"17","AT60141",2010,17.8329215655378,27.502,1
"18","AT72912",2010,18.1386916330927,14.191,1
"19","AT4S431",2010,44.7585884523036,48.324,1
"20","AT60156",2010,9.96568518754583,4.369,1
"21","AT2SP10",2010,16.1129024203603,12.736,1
"22","AT32701",2010,28.1285888087394,23.963,1
"23","AT2SP18",2010,31.5960795334469,24.835,1
"24","AT4S407",2010,23.9021616608715,18.214,1
"25","AT90FLO",2010,37.2941081326733,31.753,1
"26","AT90MBA",2010,34.3368450408526,57.802,1
"27","AT900ZA",2010,32.1829994108275,23.809,1
"28","AT72530",2010,27.6094962023954,31.857,1
"29","AT60114",2010,18.9039755024512,20.65,1
"30","BELGK09",2010,22.9526462295042,28.074,1
"31","BELML01",2010,35.7763667364138,33.425,1
"32","BELSZ02",2010,27.7978682836196,27.716,1
"33","BETWOL1",2010,57.1829420662689,39.285,1
"34","BETM802",2010,41.4622832360853,43.954,1
"35","BETN016",2010,22.4439899366875,22.659,1
"36","BETN046",2010,28.7537877835392,22.887,1
"37","BETR010",2010,37.0915522030381,30.937,1
"38","BETR821",2010,30.774552165382,30.22,1
"39","BETR831",2010,33.8179086398492,33.874,1
"40","BETR891",2010,32.0831386864648,39.893,1
"41","BETR892",2010,31.3403692185954,38.873,1
"42","BETN113",2010,10.3600963310442,9.998,1
"43","BETN132",2010,14.0327632974637,12.711,1
"44","BETM705",2010,28.2788979121475,27.718,1
"45","BETE009",2010,31.1615297240907,25.252,1
"46","CH0045A",2010,21.2926280359818,16.076,1
"47","CH0037A",2010,29.7282055032595,20.714,1
"48","CH0043A",2010,30.6709227531977,25.652,1
"49","CH0011A",2010,34.3290353068431,33.021,1
"50","CH0044A",2010,74.32216642401,45.695,1
"51","CH0010A",2010,39.7682899758168,32.814,1
"52","DENW094",2010,29.5235433484247,18.435,1
"53","DESN001",2010,23.0672912034943,26.327,1
"54","DEBE062",2010,13.6653136655274,13.315,1
"55","DEBE068",2010,42.0842698896194,27.943,1
"56","DEHE046",2010,9.31032865636912,10.186,1
"57","DESN004",2010,23.8652118385086,22.497,1
"58","DEBY010",2010,45.4898482298859,31.981,1
"59","DEST015",2010,16.3618666909133,15.697,1
"60","DENW062",2010,31.8139732394043,29.828,1
"61","DESN006",2010,29.0378643748061,28.876,1
"62","DEBY012",2010,27.3695138979224,29.626,1
"63","DESN083",2010,32.479865307586,44.758,1
"64","DEBB064",2010,24.3608044849771,17.977,1
"65","DEBB044",2010,30.4504615936907,39.999,1
"66","DEHE001",2010,41.9475523484667,27.243,1
"67","DESN012",2010,30.1652818341763,21.612,1
"68","DESL003",2010,23.3883140962017,20.734,1
"69","DESN084",2010,43.1503229001,50.016,1
"70","DENW112",2010,43.7023582689677,43.456,1
"71","DENW102",2010,33.8611267326712,35.505,1
"72","DENW283",2010,32.5765327618309,33.662,1
"73","DENI043",2010,17.3156404285495,16.169,1
"74","DEBY116",2010,29.7000767137516,36.039,1
"75","DENW024",2010,33.1309283553455,32.511,1
"76","DEBW084",2010,35.0434271669457,22.194,1
"77","DEHE059",2010,35.1240424537075,42.892,1
"78","DEBY056",2010,32.5490059880634,30.629,1
"79","DEBW112",2010,27.1651258825758,17.964,1
"80","DEST044",2010,17.7402000737718,16.887,1
"81","DEHH074",2010,38.3220821950947,31.666,1
"82","DEHH049",2010,20.0875585875929,17.971,1
"83","DEHH073",2010,14.6613260268993,19.775,1
"84","DEHH072",2010,20.5736063645892,21.531,1
"85","DEHH008",2010,36.9824663663116,29.461,1
"86","DEHH021",2010,19.2167272628538,17.289,1
"87","DEHH015",2010,43.1212944899777,38.063,1
"88","DEHE011",2010,39.9416539737476,37.837,1
"89","DEBW015",2010,28.4593726295299,30.885,1
"90","DETH061",2010,10.2709633071635,9.875,1
"91","DERP035",2010,37.6770334444796,30.359,1
"92","DERP019",2010,39.1599105909358,25.74,1
"93","DESH027",2010,43.3310928267659,54.004,1
"94","DESH033",2010,28.5337242502927,20.452,1
"95","DESN077",2010,30.8811948210543,44.638,1
"96","DEHE044",2010,29.6951719854719,27.596,1
"97","DESH023",2010,18.724687155217,14.805,1
"98","DERP007",2010,35.4331888759457,27.9,1
"99","DEBW007",2010,30.0993333541215,31.207,1
"100","DEBW098",2010,40.4841358720553,49.759,1
"101","DEHE062",2010,31.3008584819352,46.012,1
"102","DEBW142",2010,33.417854175224,52.412,1
"103","DEHE045",2010,21.7999403417337,20.097,1
"104","DENW187",2010,41.7445602557063,49.623,1
"105","DEBY039",2010,53.3815008354344,34.546,1
"106","DEUB030",2010,3.88826086650068,5.278,1
"107","DENI016",2010,21.1857900784938,12.999,1
"108","DENI076",2010,29.7966414403697,40.839,1
"109","DENI067",2010,38.4189654092382,49.518,1
"110","DENI058",2010,8.44627356039008,10.393,1
"111","DEBY118",2010,43.2519894148581,30.767,1
"112","DEBW110",2010,14.6878762844772,14.97,1
"113","DESH034",2010,28.8468001891282,44.88,1
"114","DEBW026",2010,50.6191492173755,35.339,1
"115","DENW078",2010,36.2347091341763,30.567,1
"116","DESH028",2010,23.8882807944113,42.521,1
"117","DEHE018",2010,36.0239402665747,32.545,1
"118","DEBY062",2010,24.7899900963491,15.47,1
"119","DEHE043",2010,16.8755972407094,21.026,1
"120","DENI070",2010,17.5186860101133,17.312,1
"121","DEST069",2010,14.1814736319574,12.88,1
"122","DEUB004",2010,11.7617397405201,2.563,1
"123","DESN074",2010,13.2241345563387,11.986,1
"124","DEMV023",2010,24.7292372775999,24.707,1
"125","DEBW056",2010,27.4692821769672,21.026,1
"126","DENW068",2010,15.9171001979445,16.723,1
"127","DENW080",2010,38.2587409409512,26.046,1
"128","DEBB066",2010,6.71119541608602,7.881,1
"129","DEST063",2010,32.241811835619,18.533,1
"130","DEBW116",2010,51.9263813787789,99.918,1
"131","DENW010",2010,30.292684010301,24.708,1
"132","DESL017",2010,26.8941131637507,19.941,1
"133","DEBY075",2010,24.6296689604686,26.561,1
"134","DEBW023",2010,25.2900073670506,18.951,1
"135","DENI060",2010,13.9605833125688,12.183,1
"136","DEST011",2010,24.4169364600038,16.453,1
"137","DERP023",2010,36.9250408245873,31.893,1
"138","DEBY119",2010,39.0405176889636,43.695,1
