"station_european_code","year","gwr","obs","nfold"
"DEHH015","2010",43.1719323626738,38.063,1
"DEHE011","2010",40.3599131259992,37.837,1
"DEBW015","2010",27.2776608241728,30.885,1
"DETH061","2010",10.7700299217828,9.875,1
"DERP035","2010",38.0364175118583,30.359,1
"DERP019","2010",39.507239906664,25.74,1
"DESH027","2010",43.3165412044775,54.004,1
"DESH033","2010",28.4851799060234,20.452,1
"DESN077","2010",31.149656138059,44.638,1
"DEHE044","2010",29.0112659249747,27.596,1
"DESH023","2010",18.4933806477771,14.805,1
"DERP007","2010",33.8374782183845,27.9,1
"DEBW007","2010",29.456410403172,31.207,1
"DEBW098","2010",41.5296813532576,49.759,1
"DEHE062","2010",31.4029988004717,46.012,1
"DEBW142","2010",32.0327331989965,52.412,1
"DEHE045","2010",21.7316881665336,20.097,1
"DENW187","2010",41.288447517469,49.623,1
"DEBY039","2010",53.8372684572637,34.546,1
"DEUB030","2010",4.23069088161861,5.278,1
"DENI016","2010",21.3728719723679,12.999,1
"DENI076","2010",30.1583600836771,40.839,1
"DENI067","2010",38.1587528898194,49.518,1
"DENI058","2010",8.31349606296191,10.393,1
"DEBY118","2010",44.3980939696215,30.767,1
"DEBW110","2010",14.5530970879423,14.97,1
"DESH034","2010",29.1547907957858,44.88,1
"DEBW026","2010",52.2757184160353,35.339,1
"DENW078","2010",36.0794234051689,30.567,1
"DESH028","2010",23.830015621836,42.521,1
"DEHE018","2010",35.9366256170029,32.545,1
"DEBY062","2010",24.684072998583,15.47,1
"DEHE043","2010",16.9366176917297,21.026,1
"DENI070","2010",17.5781599167813,17.312,1
"DEST069","2010",14.1814736319574,12.88,1
"DEUB004","2010",11.6584267552958,2.563,1
"DESN074","2010",13.1599316415302,11.986,1
"DEMV023","2010",25.039608124803,24.707,1
"DEBW056","2010",27.1441579320059,21.026,1
"DENW068","2010",15.4359687587768,16.723,1
"DENW080","2010",37.9458375339569,26.046,1
"DEBB066","2010",6.79510652121281,7.881,1
"DEST063","2010",32.4851212345417,18.533,1
"DEBW116","2010",51.9291354369965,99.918,1
"DENW010","2010",30.4697927141208,24.708,1
"DESL017","2010",26.5661880321397,19.941,1
"DEBY075","2010",24.3626280488305,26.561,1
"DEBW023","2010",25.145048694367,18.951,1
"DENI060","2010",13.9115747558875,12.183,1
"DEST011","2010",23.952953192114,16.453,1
"DERP023","2010",36.6162164587334,31.893,1
"DEBY119","2010",38.5500370014325,43.695,1
"DK0046A","2010",28.0220182545707,17.805,1
"DK0051A","2010",27.5518856618841,39.13,1
"ES0001R","2010",6.83696560728926,3.155,1
"ES0007R","2010",13.1648537249592,6.776,1
"ES0016R","2010",6.39317187967055,3.209,1
"ES0115A","2010",55.6111348742829,49.114,1
"ES0118A","2010",59.5651903900462,54.35,1
"ES0126A","2010",39.9108124323876,42.11,1
"ES0316A","2010",5.09873346289913,4.489,1
"ES0360A","2010",9.5323500878448,13.521,1
"ES0365A","2010",5.83919111744927,2.896,1
"ES0622A","2010",9.54924204392463,10.073,1
"ES0692A","2010",48.1611680180907,40.928,1
"ES0694A","2010",36.1799736438083,38.575,1
"ES0695A","2010",44.8214884687859,38.824,1
"ES0761A","2010",10.8876163454085,11.938,1
"ES0890A","2010",22.3359447009272,37.502,1
"ES0901A","2010",9.47836733342709,10.899,1
"ES1033A","2010",10.4193471028487,8.309,1
"ES1038A","2010",27.1633216436421,21.652,1
"ES1117A","2010",10.6251456094389,22.379,1
"ES1122A","2010",16.5971100358379,15.395,1
"ES1124A","2010",23.6072757896924,24.607,1
"ES1161A","2010",23.7414604210738,31.334,1
"ES1185A","2010",28.649567507729,16.773,1
"ES1231A","2010",38.6495510288566,32.436,1
"ES1239A","2010",45.9589093589093,44.507,1
"ES1246A","2010",15.2834740348325,11.498,1
"ES1268A","2010",28.6693538542468,37.81,1
"ES1270A","2010",29.1849291350864,37.045,1
"ES1278A","2010",20.8857878113129,19.176,1
"ES1320A","2010",14.4878949632073,24.816,1
"ES1349A","2010",23.5221688060443,24.714,1
"ES1397A","2010",19.478134389281,20.862,1
"ES1424A","2010",26.2553614900784,28.756,1
"ES1445A","2010",15.2973421198393,17.535,1
"ES1449A","2010",22.0224445454192,32.482,1
"ES1530A","2010",17.6283768428049,14.066,1
"ES1549A","2010",18.6997988284233,16.038,1
"ES1564A","2010",33.177261574992,28.809,1
"ES1565A","2010",27.8059314414606,35.425,1
"ES1567A","2010",33.5709770705997,43.831,1
"ES1569A","2010",16.7755191435583,13.411,1
"ES1589A","2010",24.1987224615459,19.861,1
"ES1591A","2010",11.1046764057765,29.508,1
"ES1593A","2010",18.5966060176958,13.465,1
"ES1594A","2010",15.4754499107208,15.817,1
"ES1595A","2010",22.402431716825,27.146,1
"ES1599A","2010",11.4353698815612,6.306,1
"ES1617A","2010",11.9094955544162,12.103,1
"ES1619A","2010",41.5224144304168,28.752,1
"ES1625A","2010",32.087998332957,29.74,1
"ES1643A","2010",18.5428565027517,24.431,1
"ES1651A","2010",20.1380327027901,23.488,1
"ES1657A","2010",17.4850554934725,13.833,1
"ES1658A","2010",18.1011415460273,12.449,1
"ES1661A","2010",10.496411392062,10.287,1
"ES1671A","2010",6.97889501869325,4.938,1
"ES1684A","2010",41.7347992197728,28.853,1
"ES1688A","2010",12.1619898414773,8.155,1
"ES1747A","2010",29.326709083946,26.773,1
"ES1750A","2010",40.9095343149826,27.35,1
"ES1753A","2010",8.7468824974652,9.636,1
"ES1755A","2010",8.93496648621327,7.639,1
"ES1799A","2010",24.4549924008926,22.366,1
"ES1801A","2010",20.0344064821329,19.488,1
"ES1815A","2010",22.1134053582151,21.841,1
"ES1835A","2010",9.56551185356187,12.651,1
"ES1856A","2010",43.6647189583691,36.967,1
"ES1857A","2010",14.7618078495825,12.065,1
"ES1859A","2010",12.328307204406,23.524,1
"ES1883A","2010",5.51430861621816,4.083,1
"ES1886A","2010",19.9397329732053,15.663,1
"ES1898A","2010",7.29526652234045,9.377,1
"ES1915A","2010",27.7154144696583,24.911,1
"ES1923A","2010",18.6085937679874,11.145,1
"ES1927A","2010",19.9088848661157,15.885,1
"ES1929A","2010",35.8467747841871,40.813,1
"ES1930A","2010",13.5449574345216,5.612,1
"ES1941A","2010",37.4812394208226,41.39,1
"ES1944A","2010",40.3037755439554,37.825,1
"ES1947A","2010",33.7635143341536,41.457,1
"ES1986A","2010",16.299335614916,19.788,1
"ES1991A","2010",5.1958418720811,2.675,1
"FI00397","2010",18.0566630249224,15.248,1
"FI00363","2010",21.3983616333649,15.19,1
"FI00066","2010",14.4981946848762,12.977,1
"FI00588","2010",25.4497530964475,21.239,1
"FI00460","2010",7.79001418845327,10.009,1
"FI00839","2010",22.5509989513547,36.683,1
"FI00186","2010",20.7431883862985,33.373,1
"FI00576","2010",35.8027035401206,52.892,1
"FR31032","2010",18.2921756646364,13.011,1
"FR12026","2010",17.1339375961132,17.039,1
"FR04018","2010",41.8424804795424,37.866,1
"FR03080","2010",31.3175467335399,19.854,1
"FR12043","2010",16.4275245893371,21.974,1
"FR11022","2010",24.8927177195275,24.609,1
"FR31007","2010",21.0895175279063,19.896,1
"FR41004","2010",11.4353018277351,15.904,1
"FR14010","2010",19.0558096254474,20.332,1
"FR31003","2010",32.5227423774863,26.478,1
"FR23046","2010",12.1015008226706,12.15,1
"FR17002","2010",23.9949954084663,31.907,1
"FR34062","2010",25.5644566241609,18.213,1
"FR19014","2010",21.3889019348074,43.812,1
"FR19012","2010",23.0271804329671,18.312,1
"FR16060","2010",22.1324315104496,26.516,1
"FR04008","2010",39.0940979755908,36.9,1
"FR20047","2010",26.680744195378,21.577,1
"FR10027","2010",30.4260235250638,29.286,1
"FR10024","2010",37.9773853844161,34.202,1
"FR16059","2010",21.2691119045137,28.87,1
"FR15012","2010",19.0038458852103,17.531,1
"FR08003","2010",34.6705414546616,31.061,1
"FR34051","2010",18.2615541489199,13.162,1
"FR17007","2010",17.3711617493396,18.187,1
"FR34046","2010",24.1353989267396,14.873,1
"FR29425","2010",21.6317463900124,21.116,1
"FR33303","2010",27.145396865564,19.212,1
"FR01006","2010",23.762093403114,22.517,1
"FR22004","2010",26.3114288591069,21.208,1
"FR20038","2010",31.3445039197755,25.097,1
"FR24015","2010",37.8270959130589,25.424,1
"FR08204","2010",17.6192487894739,9.752,1
"FR15043","2010",28.213639820491,24.816,1
"FR31014","2010",13.7403642507639,18.668,1
"FR04001","2010",44.0370556457388,31.476,1
"FR23092","2010",23.3273253269763,21.342,1
"FR30033","2010",13.6503446819525,9.948,1
"FR23110","2010",18.8526848286449,14.317,1
"FR09016","2010",18.1368557398777,17.585,1
"FR05086","2010",29.399620068757,19.476,1
"FR07021","2010",31.7013109906902,33.403,1
"FR08714","2010",24.307487087035,21.006,1
"FR11033","2010",28.2516124460896,30.107,1
"FR19032","2010",19.0448877253728,14.792,1
"FR30026","2010",27.0551277581163,29.44,1
"FR31006","2010",23.5528345464759,35.461,1
"FR01011","2010",38.4752646780762,26.38,1
"FR07004","2010",24.7687514281271,25.725,1
"FR07013","2010",16.6886717208711,15.236,1
"FR16066","2010",29.3207177890209,22.344,1
"FR04017","2010",45.2089883061206,39.356,1
"FR16055","2010",24.1002910273564,24.288,1
"FR23181","2010",18.9666478714245,16.243,1
"FR04014","2010",46.6722168694801,39.946,1
"FR04037","2010",50.5307250620982,37.629,1
"FR04060","2010",42.5017782929558,44.383,1
"FR12027","2010",25.3402507588431,22.375,1
"FR09009","2010",24.4982132273312,31.592,1
"FR04141","2010",62.5109615260008,71.903,1
"FR19051","2010",18.2358029369076,15.185,1
"FR12009","2010",28.1215259683716,45.367,1
"FR19006","2010",23.7292909812541,20.614,1
"FR02020","2010",26.0596823178011,15.569,1
"FR25037","2010",66.3222907017109,47.181,1
"FR07001","2010",18.7703426769992,13.693,1
"FR20048","2010",26.6639496407133,16.128,1
"FR33111","2010",17.6345071941877,14.858,1
"FR29426","2010",27.8246087891257,32.711,1
"FR04059","2010",47.831639492247,33.484,1
"FR16034","2010",49.5607416080754,56.823,1
"FR08004","2010",39.7011065266812,51.468,1
"FR15038","2010",26.897750250837,30.022,1
"FR01022","2010",29.2354288422648,20.181,1
"FR30023","2010",27.2139799730579,21.87,1
"FR26005","2010",24.6825585478312,21.358,1
"FR26016","2010",21.1782884448962,17.844,1
"FR33260","2010",36.0334368140807,16.194,1
"FR35006","2010",20.9620524700345,17.312,1
"FR17014","2010",16.734193619506,15.968,1
"FR30024","2010",23.7871218246743,17.794,1
"FR14013","2010",30.3086934787288,50.703,1
"FR36002","2010",33.0555549180873,24.981,1
"FR34034","2010",17.4811176796857,17.254,1
"FR30029","2010",12.2826661150075,12.27,1
"FR16031","2010",13.2413892950411,11.609,1
"FR21035","2010",23.8013069284212,18.134,1
"GB0580A","2010",30.0324076835935,32.854,1
"GB0921A","2010",35.5060842997542,38.96,1
"GB0637A","2010",48.3445835012869,44.684,1
"GB0916A","2010",26.6045942639429,30.491,1
"GB0776A","2010",37.2075138760893,27.924,1
"GB0861A","2010",18.1755794849678,15.053,1
"GB0586A","2010",35.9569267319911,24.579,1
"GB0620A","2010",45.7389763250966,36.826,1
"GB0644A","2010",32.0448191379031,23.991,1
"GB0743A","2010",45.9442528479139,51.983,1
"GB0906A","2010",17.5135716345688,18.656,1
"GB0956A","2010",20.8567389706124,21.125,1
"GB0045R","2010",11.2552724946566,11.085,1
"GB0755A","2010",27.4209038774221,24.209,1
"GR0027A","2010",35.8587651103394,30.037,1
"GR0032A","2010",45.7416201731508,83.226,1
"GR0037A","2010",22.0284500963794,9.883,1
"HU0027A","2010",29.1582015854685,35.293,1
"IE0118A","2010",18.4949737312261,9.564,1
"IT1042A","2010",39.8663165779017,35.113,1
"IT0991A","2010",29.4311639957017,41.265,1
"IT0455A","2010",28.8608842592954,41.051,1
"IT0983A","2010",23.7339624411798,30.747,1
"IT1976A","2010",21.1844748324542,31.72,1
"IT1693A","2010",28.0282350543524,47.141,1
"IT1440A","2010",19.7069781803429,26.669,1
"IT1348A","2010",28.1425068115121,32.068,1
"IT1365A","2010",27.0797326495676,60.471,1
"IT0908A","2010",18.8663640332756,19.648,1
"IT1848A","2010",24.058889259209,13.488,1
"IT1465A","2010",46.7482511313009,46.803,1
"IT1248A","2010",29.2775480289009,44.809,1
"IT2039A","2010",24.6155667055956,43.034,1
"IT1798A","2010",29.1035912271878,19.236,1
"IT1648A","2010",39.8516850045396,49.439,1
"IT1832A","2010",14.8935875146935,12.963,1
"IT1485A","2010",36.4062176460465,29.935,1
"IT0872A","2010",29.0831150470824,33.097,1
"IT1376A","2010",16.3094053349573,16.025,1
"IT1407A","2010",8.81462765607327,7.65,1
"IT1833A","2010",33.8841424261592,26.429,1
"IT1457A","2010",31.833860339352,35.344,1
"IT0447A","2010",28.1267486180571,23.532,1
"IT1981A","2010",32.7684386090357,52.89,1
"IT0804A","2010",37.4596897531039,32.963,1
"IT1287A","2010",30.4917896403465,38.909,1
"IT0771A","2010",41.0741352471914,54.947,1
"IT1831A","2010",18.7171093157781,16.944,1
"IT0995A","2010",63.9804335987265,60.919,1
"IT1736A","2010",26.4244729402885,34.71,1
"IT0854A","2010",45.6096863227334,37.951,1
"IT1904A","2010",18.004144751029,9.704,1
"IT1890A","2010",8.51129828133305,1.33,1
"IT2007A","2010",34.7009855822737,34.992,1
"IT1871A","2010",29.8677066106842,28.759,1
"IT1653A","2010",30.1365833826991,31.678,1
"IT1929A","2010",35.6076667210629,23.1,1
"IT1923A","2010",38.1222335141883,48.598,1
"IT1592A","2010",32.9357234410005,55.144,1
"IT1802A","2010",39.5522118284916,41.793,1
"IT0187A","2010",38.6737901272014,43.802,1
"IT1546A","2010",14.5448564543656,16.104,1
"IT1535A","2010",28.1963180099898,27.028,1
"IT0989A","2010",22.5456893175703,7.707,1
"IT1238A","2010",30.1954601545097,15.231,1
"IT1286A","2010",39.2916909788705,31.958,1
"IT1187A","2010",29.5500956714824,32.869,1
"IT1089A","2010",28.6570055117942,34.288,1
"IT1010A","2010",33.2148681049611,41.246,1
"IT1868A","2010",35.0651429739774,34.747,1
"IT1480A","2010",34.0636537332288,36.517,1
"IT1034A","2010",44.3593381321117,54.874,1
"IT1692A","2010",53.8699834878011,58.671,1
"IT1935A","2010",30.0719582370451,23.714,1
"IT1091A","2010",26.7437443327526,21.83,1
"IT1389A","2010",27.8356773330641,30.753,1
"IT1190A","2010",25.7590448328178,26.117,1
"IT0978A","2010",22.9985264438468,25.905,1
"IT1795A","2010",16.3724142860274,6.418,1
"IT1600A","2010",23.2422482697671,12.282,1
"IT1491A","2010",42.0640388210379,60.247,1
"IT1018A","2010",41.9907993898371,57.51,1
"IT1676A","2010",40.3193771520587,57.7,1
"IT0856A","2010",50.6670534290014,22.778,1
"IT1870A","2010",21.8707265216528,17.393,1
"IT1975A","2010",34.3876166881484,29.85,1
"IT1874A","2010",25.4394704907537,21.759,1
"IT1423A","2010",27.6501970299648,22.487,1
"IT1067A","2010",32.4400512800617,35.16,1
"IT1901A","2010",24.3894327746475,21.747,1
"IT1886A","2010",31.4035259717709,27.736,1
"IT1359A","2010",28.5754339611707,54.178,1
"IT1225A","2010",45.5294785539467,33.719,1
"IT1150A","2010",46.0213336604956,41.041,1
"IT1181A","2010",33.6732196281174,46.307,1
"IT1900A","2010",29.7983218165776,27.099,1
"IT1555A","2010",36.1111278648695,28.627,1
"IT1572A","2010",45.8803100382231,39.388,1
"IT1515A","2010",17.4373516607691,24.894,1
"IT2038A","2010",35.6299737232949,25.605,1
"IT0753A","2010",26.721217819654,35.174,1
"IT1617A","2010",16.0575334192336,9.929,1
"IT0821A","2010",20.9468866626349,24.436,1
"IT1168A","2010",19.0046624440928,19.2,1
"IT1914A","2010",25.8607842254315,26.669,1
"IT0663A","2010",28.2780582007006,23.826,1
"IT0824A","2010",20.1241297993934,17.682,1
"IT1857A","2010",25.9491967576332,37.827,1
"IT1801A","2010",27.6115650369007,32.853,1
"IT1997A","2010",21.0049302118101,9.007,1
"IT1916A","2010",16.1319029284476,11.802,1
"IT1177A","2010",39.2490069401414,34.564,1
"IT1944A","2010",29.9949512425091,15.897,1
"IT0909A","2010",35.8787927921271,30.584,1
"IT1922A","2010",27.5204096783793,28.17,1
"IT1954A","2010",12.255177676482,23.452,1
"IT1533A","2010",32.783837039253,43.758,1
"IT0895A","2010",31.3571433596647,36.588,1
"IT1703A","2010",17.231129597266,20.293,1
"IT1701A","2010",27.6723539800211,27.325,1
"LT00043","2010",13.8060657331479,8.904,1
"LT00022","2010",21.5377291763299,27.468,1
"LT00003","2010",17.3230500371599,25.72,1
"LU0105A","2010",17.146114125053,14.619,1
"LU0100A","2010",36.6774556160428,59.46,1
"NL00520","2010",39.3279741190274,31.327,1
"NL00021","2010",32.0462247987926,25.384,1
"NL00544","2010",58.0334912565177,46.349,1
"NL00022","2010",32.1621173437447,24.565,1
"NL00014","2010",36.9467220984689,31.327,1
"NL00620","2010",25.9331321753751,23.865,1
"NL00441","2010",36.6138066620676,25.741,1
"NL00236","2010",37.8819903360819,33.413,1
"NL00237","2010",32.7481314456356,40.067,1
"NL00537","2010",46.7425834767817,41.528,1
"NL00136","2010",44.7845082989792,38.175,1
"NL00929","2010",12.0275038730779,12.48,1
"NL00301","2010",20.4704759881674,20.962,1
"NO0060A","2010",20.6868753153275,52.051,1
"NO0092A","2010",26.2934803734781,38.983,1
"NO0076A","2010",28.4370123834258,45.235,1
"NO0089A","2010",21.3992735213812,28.612,1
"PT03098","2010",25.9257906536709,34.204,1
"PT01045","2010",25.177984605415,15.012,1
"PT01024","2010",30.6556643490525,31,1
"PT01048","2010",7.75328831076638,3.737,1
"PT01041","2010",25.7903628902169,47.721,1
"PT01028","2010",43.2512218121276,50.941,1
"PT02016","2010",16.9454968210638,14.636,1
"PT01030","2010",17.1394685642144,42.557,1
"PT03083","2010",27.849187198928,27.772,1
"PT03055","2010",23.4229836444467,20.894,1
"PT03097","2010",32.9642354571508,27.867,1
"PT03071","2010",35.3214106868516,35.206,1
"SE0058A","2010",37.5804642451061,29.795,1
"SE0067A","2010",41.7760245179237,34.627,1
"SE0096A","2010",36.2238984060727,36.018,1
"SE0022A","2010",30.4406923426195,14.887,1
